batsman,bowler,inning,batsman_runs,is_wicket
MK Pandey,A Mishra,114,76,3
AM Rahane,MJ McClenaghan,101,76,2
BB McCullum,Harbhajan Singh,85,76,2
V Kohli,I Sharma,84,76,0
SR Watson,R Ashwin,62,76,2
MS Dhoni,A Nehra,46,76,3
AT Rayudu,R Ashwin,97,75,4
PA Patel,IK Pathan,92,75,1
KL Rahul,MJ McClenaghan,80,75,2
AT Rayudu,PP Chawla,76,75,6
KL Rahul,HH Pandya,70,75,0
KD Karthik,RA Jadeja,68,75,2
KA Pollard,SR Watson,66,75,1
GJ Maxwell,KV Sharma,38,75,0
RV Uthappa,B Kumar,119,74,1
AT Rayudu,B Kumar,106,74,2
Q de Kock,R Ashwin,105,74,4
CA Lynn,YS Chahal,96,74,1
SR Watson,RA Jadeja,95,74,5
YK Pathan,SL Malinga,92,74,0
V Kohli,SB Jakati,86,74,2
DA Warner,SL Malinga,84,74,2
MS Dhoni,Z Khan,67,74,7
CH Gayle,MS Gony,35,74,1
SR Tendulkar,JA Morkel,100,73,0
Q de Kock,AR Patel,78,73,0
V Kohli,JA Morkel,76,73,2
SK Raina,KA Pollard,74,73,1
YK Pathan,DJ Bravo,73,73,3
V Kohli,Sandeep Sharma,68,73,7
SPD Smith,SL Malinga,92,72,1
DR Smith,Harbhajan Singh,90,72,4
SK Raina,JH Kallis,83,72,2
G Gambhir,IK Pathan,77,72,2
KS Williamson,A Mishra,77,72,0
KL Rahul,JD Unadkat,70,72,1
CH Gayle,JD Unadkat,42,72,0
S Dhawan,R Ashwin,150,71,2
DA Warner,DS Kulkarni,134,71,2
AM Rahane,Sandeep Sharma,117,71,2
RG Sharma,RA Jadeja,106,71,3
R Dravid,PP Ojha,98,71,2
SK Raina,SL Malinga,82,71,2
V Kohli,CH Morris,76,71,1
AM Rahane,SP Narine,66,71,4
M Vijay,UT Yadav,61,71,2
AB de Villiers,CH Morris,51,71,0
DA Warner,J Yadav,50,71,1
MS Dhoni,AR Patel,106,70,0
SA Yadav,R Ashwin,102,70,0
F du Plessis,AR Patel,94,70,2
RA Jadeja,PP Chawla,90,70,4
SK Raina,YK Pathan,88,70,3
RG Sharma,IK Pathan,75,70,2
CH Gayle,UT Yadav,73,70,4
S Dhawan,Sandeep Sharma,72,70,2
AB de Villiers,DJ Bravo,66,70,1
Yuvraj Singh,JH Kallis,65,70,2
WP Saha,SP Narine,61,70,3
RG Sharma,DT Christian,54,70,0
DPMD Jayawardene,RP Singh,52,70,0
RR Pant,B Kumar,47,70,1
JP Duminy,JJ Bumrah,41,70,1
G Gambhir,DW Steyn,102,69,2
SS Iyer,Rashid Khan,94,69,2
RV Uthappa,Sandeep Sharma,89,69,2
DA Warner,Kuldeep Yadav,79,69,2
S Dhawan,MJ McClenaghan,77,69,3
SS Iyer,YS Chahal,77,69,0
KA Pollard,YS Chahal,69,69,4
V Kohli,P Kumar,68,69,1
RG Sharma,S Nadeem,65,69,1
AT Rayudu,IK Pathan,61,69,2
Yuvraj Singh,SK Warne,61,69,1
SE Marsh,SR Watson,56,69,2
KS Williamson,UT Yadav,43,69,1
AB de Villiers,MM Sharma,40,69,1
CH Gayle,YK Pathan,111,68,0
SPD Smith,RA Jadeja,104,68,5
DA Miller,A Mishra,79,68,1
N Rana,MP Stoinis,73,68,2
NV Ojha,JA Morkel,68,68,2
SK Raina,PP Ojha,64,68,2
IK Pathan,RP Singh,44,68,1
AB de Villiers,IK Pathan,71,67,0
CH Gayle,SK Raina,70,67,1
SR Watson,P Kumar,69,67,2
CH Gayle,A Mishra,48,67,0
V Kohli,M Morkel,95,66,3
AT Rayudu,UT Yadav,92,66,1
S Dhawan,YS Chahal,81,66,3
MK Pandey,PP Ojha,79,66,2
DA Warner,I Sharma,77,66,1
YK Pathan,R Vinay Kumar,76,66,4
RV Uthappa,L Balaji,71,66,0
S Dhawan,Mohammed Shami,69,66,1
KL Rahul,YS Chahal,67,66,2
AC Gilchrist,IK Pathan,64,66,4
AT Rayudu,S Nadeem,63,66,3
V Kohli,NLTC Perera,61,66,1
N Rana,R Ashwin,39,66,0
CH Gayle,SP Narine,131,65,2
PA Patel,B Kumar,102,65,7
JH Kallis,JA Morkel,94,65,2
RV Uthappa,RA Jadeja,86,65,3
SK Raina,SK Warne,84,65,3
RV Uthappa,R Vinay Kumar,64,65,0
SC Ganguly,PP Ojha,63,65,2
V Sehwag,A Nehra,62,65,3
AM Rahane,AR Patel,60,65,1
