bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
SS Agarwal,24,180,84,42,1,4.0,42.0,24.0
GH Vihari,62,162,154,48,1,10.333333333333334,48.0,62.0
Harmeet Singh (2),50,126,91,34,1,8.333333333333334,34.0,50.0
Y Prithvi Raj,66,238,126,57,1,11.0,57.0,66.0
M Manhas,60,492,147,42,0,10.0,inf,inf
Sunny Gupta,19,134,70,47,0,3.1666666666666665,inf,inf
A Dananjaya,50,200,91,47,0,8.333333333333334,inf,inf
AS Raut,30,414,105,45,0,5.0,inf,inf
Rasikh Salam,27,176,105,42,0,4.5,inf,inf
RW Price,18,114,63,33,0,3.0,inf,inf
RR Bhatkal,24,102,42,35,0,4.0,inf,inf
NL McCullum,48,204,105,35,0,8.0,inf,inf
CJ Dala,38,153,70,34,0,6.333333333333333,inf,inf
Tejas Baroka,42,183,69,33,0,7.0,inf,inf
M Vijay,44,271,133,49,0,7.333333333333333,inf,inf
CK Kapugedera,28,203,57,49,0,4.666666666666667,inf,inf
Harpreet Brar,92,374,196,89,0,15.333333333333334,inf,inf
S Sriram,18,180,63,49,0,3.0,inf,inf
MA Wood,25,352,91,50,0,4.166666666666667,inf,inf
P Ray Barman,24,246,84,56,0,4.0,inf,inf
SA Abbott,46,200,120,57,0,7.666666666666667,inf,inf
SR Tendulkar,67,417,133,59,0,11.166666666666666,inf,inf
VS Yeligati,32,372,119,61,0,5.333333333333333,inf,inf
MG Neser,25,303,91,62,0,4.166666666666667,inf,inf
AUK Pathan,68,570,147,63,0,11.333333333333334,inf,inf
P Dubey,96,444,168,72,0,16.0,inf,inf
KAJ Roach,52,493,196,80,0,8.666666666666666,inf,inf
K Upadhyay,75,329,203,81,0,12.5,inf,inf
KS Williamson,18,144,63,31,0,3.0,inf,inf
K Goel,98,682,238,94,0,16.333333333333332,inf,inf
MB Parmar,38,144,70,33,0,6.333333333333333,inf,inf
Monu Kumar,16,128,72,20,0,2.6666666666666665,inf,inf
S Midhun,26,103,49,29,0,4.333333333333333,inf,inf
Abdur Razzak,14,140,56,29,0,2.3333333333333335,inf,inf
DA Warner,4,22,13,2,0,0.6666666666666666,inf,inf
SPD Smith,4,32,3,5,0,0.6666666666666666,inf,inf
SN Khan,4,38,3,6,0,0.6666666666666666,inf,inf
Y Gnaneswara Rao,6,60,21,7,0,1.0,inf,inf
RS Gavaskar,6,90,21,8,0,1.0,inf,inf
SA Yadav,6,0,21,8,0,1.0,inf,inf
RA Shaikh,12,12,21,11,0,2.0,inf,inf
BJ Rohrer,14,77,28,12,0,2.3333333333333335,inf,inf
RA Tripathi,12,66,21,12,0,2.0,inf,inf
C Ganapathy,6,54,21,13,0,1.0,inf,inf
LS Livingstone,6,42,21,13,0,1.0,inf,inf
C Munro,18,84,42,15,0,3.0,inf,inf
F du Plessis,12,90,21,16,0,2.0,inf,inf
P Prasanth,6,42,21,18,0,1.0,inf,inf
S Rana,26,184,52,18,0,4.333333333333333,inf,inf
B Chipli,12,84,21,20,0,2.0,inf,inf
NJ Rimmington,36,84,63,20,0,6.0,inf,inf
LPC Silva,12,108,21,21,0,2.0,inf,inf
I Malhotra,12,42,21,23,0,2.0,inf,inf
CJ Green,34,104,57,24,0,5.666666666666667,inf,inf
LRPL Taylor,19,163,49,24,0,3.1666666666666665,inf,inf
RR Bose,12,12,42,24,0,2.0,inf,inf
DJ Harris,18,198,63,26,0,3.0,inf,inf
Mandeep Singh,18,150,42,26,0,3.0,inf,inf
MK Lomror,30,156,63,27,0,5.0,inf,inf
DR Sams,103,663,288,114,0,17.166666666666668,inf,inf
