bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
R Sharma,1400,9587,3293,1100,42,233.33333333333334,26.19047619047619,33.333333333333336
Mohammed Siraj,1200,7856,2779,1101,41,200.0,26.853658536585368,29.26829268292683
PJ Sangwan,1245,6780,3135,1201,41,207.5,29.29268292682927,30.365853658536587
Yuvraj Singh,1316,9637,3134,1091,39,219.33333333333334,27.974358974358974,33.743589743589745
M Kartik,1903,11173,4249,1418,39,317.1666666666667,36.35897435897436,48.794871794871796
MA Starc,850,5025,2258,725,39,141.66666666666666,18.58974358974359,21.794871794871796
MS Gony,1439,6430,3373,1317,39,239.83333333333334,33.76923076923077,36.8974358974359
DP Nannes,913,5467,2569,815,38,152.16666666666666,21.44736842105263,24.026315789473685
P Negi,1143,7351,2621,954,38,190.5,25.105263157894736,30.07894736842105
NLTC Perera,1064,7712,2542,1031,37,177.33333333333334,27.864864864864863,28.756756756756758
KK Cooper,884,7491,2189,789,36,147.33333333333334,21.916666666666668,24.555555555555557
DT Christian,1339,8374,2989,1062,36,223.16666666666666,29.5,37.19444444444444
TG Southee,1399,7223,3422,1316,34,233.16666666666666,38.705882352941174,41.14705882352941
DL Vettori,1150,7948,2765,894,34,191.66666666666666,26.294117647058822,33.8235294117647
AB Agarkar,1323,7918,3006,1174,33,220.5,35.57575757575758,40.09090909090909
MF Maharoof,636,3674,1625,532,33,106.0,16.12121212121212,19.272727272727273
Azhar Mahmood,863,5840,1971,707,31,143.83333333333334,22.806451612903224,27.838709677419356
A Singh,698,4104,1738,639,31,116.33333333333333,20.612903225806452,22.516129032258064
WD Parnell,905,5509,2194,731,31,150.83333333333334,23.580645161290324,29.193548387096776
RD Chahar,1063,6215,2348,808,31,177.16666666666666,26.06451612903226,34.29032258064516
BA Stokes,996,7640,2606,993,31,166.0,32.03225806451613,32.12903225806452
PJ Cummins,1053,5681,2548,949,31,175.5,30.612903225806452,33.96774193548387
Harmeet Singh,808,5778,2002,713,30,134.66666666666666,23.766666666666666,26.933333333333334
KK Ahmed,648,3268,1460,576,30,108.0,19.2,21.6
B Lee,1270,7171,3343,1126,30,211.66666666666666,37.53333333333333,42.333333333333336
SK Raina,1548,9669,3328,1139,30,258.0,37.96666666666667,51.6
MP Stoinis,896,5821,2033,869,29,149.33333333333334,29.96551724137931,30.896551724137932
Mustafizur Rahman,904,6594,1996,693,28,150.66666666666666,24.75,32.285714285714285
AD Mathews,1242,8141,2873,1095,28,207.0,39.107142857142854,44.357142857142854
PV Tambe,885,6594,2409,866,28,147.5,30.928571428571427,31.607142857142858
STR Binny,877,5058,2200,763,28,146.16666666666666,27.25,31.321428571428573
DR Smith,798,5656,2011,825,27,133.0,30.555555555555557,29.555555555555557
R Tewatia,861,5717,2100,684,27,143.5,25.333333333333332,31.88888888888889
J Botha,1130,6366,2530,818,27,188.33333333333334,30.296296296296298,41.851851851851855
CR Woakes,526,3897,1458,589,26,87.66666666666667,22.653846153846153,20.23076923076923
SW Tait,862,4639,2087,668,26,143.66666666666666,25.692307692307693,33.15384615384615
Washington Sundar,1005,4555,2332,758,26,167.5,29.153846153846153,38.65384615384615
CJ Jordan,579,4723,1544,620,25,96.5,24.8,23.16
SM Curran,654,4317,1724,673,25,109.0,26.92,26.16
RE van der Merwe,666,4899,1635,515,25,111.0,20.6,26.64
GB Hogg,712,4895,1655,585,25,118.66666666666667,23.4,28.48
M Ashwin,978,6606,2235,796,25,163.0,31.84,39.12
AS Rajpoot,795,4121,2121,844,24,132.5,35.166666666666664,33.125
Sohail Tanvir,381,2148,982,275,24,63.5,11.458333333333334,15.875
A Symonds,790,5094,1936,694,23,131.66666666666666,30.17391304347826,34.34782608695652
L Ngidi,312,2622,993,331,23,52.0,14.391304347826088,13.565217391304348
BW Hilfenhaus,612,2634,1432,497,23,102.0,21.608695652173914,26.608695652173914
JP Duminy,1019,5783,2521,847,23,169.83333333333334,36.82608695652174,44.30434782608695
A Nortje,605,3772,1346,529,23,100.83333333333333,23.0,26.304347826086957
JO Holder,548,3267,1487,552,23,91.33333333333333,24.0,23.82608695652174
WPUJC Vaas,513,1707,1023,364,22,85.5,16.545454545454547,23.318181818181817
Bipul Sharma,629,3843,1569,581,22,104.83333333333333,26.40909090909091,28.59090909090909
VY Mahesh,482,3498,1327,511,22,80.33333333333333,23.227272727272727,21.90909090909091
Anureet Singh,624,4027,1567,636,21,104.0,30.285714285714285,29.714285714285715
A Zampa,378,3163,1037,373,21,63.0,17.761904761904763,18.0
Basil Thampi,660,4625,1561,704,21,110.0,33.523809523809526,31.428571428571427
T Natarajan,656,5221,1703,636,21,109.33333333333333,30.285714285714285,31.238095238095237
GJ Maxwell,812,4891,1996,786,20,135.33333333333334,39.3,40.6
M Prasidh Krishna,832,4705,1978,810,20,138.66666666666666,40.5,41.6
BB Sran,817,4127,1930,767,20,136.16666666666666,38.35,40.85
R Dhawan,813,5385,1885,655,20,135.5,32.75,40.65
KW Richardson,456,2821,1170,450,20,76.0,22.5,22.8
MR Marsh,422,3324,1187,426,20,70.33333333333333,21.3,21.1
CRD Fernando,397,2523,925,306,19,66.16666666666667,16.105263157894736,20.894736842105264
IC Pandey,717,2635,1666,609,19,119.5,32.05263157894737,37.73684210526316
NA Saini,964,5309,2140,795,19,160.66666666666666,41.8421052631579,50.73684210526316
AD Mascarenhas,430,1924,1098,365,19,71.66666666666667,19.210526315789473,22.63157894736842
A Ashish Reddy,442,3535,962,400,19,73.66666666666667,21.05263157894737,23.263157894736842
CH Gayle,866,6216,2149,755,19,144.33333333333334,39.73684210526316,45.578947368421055
Mujeeb Ur Rahman,612,3830,1546,568,18,102.0,31.555555555555557,34.0
BJ Hodge,356,2183,847,310,18,59.333333333333336,17.22222222222222,19.77777777777778
CV Varun,572,3319,1162,392,18,95.33333333333333,21.77777777777778,31.77777777777778
D Wiese,398,2819,1047,409,17,66.33333333333333,24.058823529411764,23.41176470588235
LR Shukla,461,3847,1169,458,17,76.83333333333333,26.941176470588236,27.11764705882353
M Markande,524,2855,1085,435,16,87.33333333333333,27.1875,32.75
VRV Singh,558,3855,1338,549,16,93.0,34.3125,34.875
RG Sharma,537,3393,1249,449,16,89.5,28.0625,33.5625
Shivam Mavi,484,2880,1257,487,16,80.66666666666667,30.4375,30.25
CR Brathwaite,421,2895,966,384,16,70.16666666666667,24.0,26.3125
ST Jayasuriya,504,3364,1080,396,16,84.0,24.75,31.5
AC Thomas,467,2635,1185,416,16,77.83333333333333,26.0,29.1875
YA Abdulla,337,2085,820,311,15,56.166666666666664,20.733333333333334,22.466666666666665
RR Powar,654,3202,1612,538,15,109.0,35.86666666666667,43.6
R Rampaul,473,1837,984,308,15,78.83333333333333,20.533333333333335,31.533333333333335
SJ Srivastava,467,2541,1160,444,15,77.83333333333333,29.6,31.133333333333333
