,id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken,fantasy_points
134,134,DNT Zoysa,7,11,0,96,2,61
135,135,DP Nannes,0,4,0,21,1,29
136,136,DP Vijaykumar,0,0,0,117,2,50
137,137,DPMD Jayawardene,21,28,0,0,0,28
138,138,DR Martyn,6,9,0,0,0,9
139,139,DR Sams,0,0,0,0,0,0
140,140,DR Shorey,1,6,0,0,0,6
141,141,DR Smith,25,29,0,36,1,52
142,142,DS Kulkarni,5,11,0,33,1,35
143,143,DS Lehmann,4,9,0,0,0,9
144,144,DT Christian,16,18,0,45,1,42
145,145,DT Patil,6,13,0,0,0,13
146,146,DW Steyn,4,7,0,33,1,31
147,147,E Lewis,24,26,0,0,0,26
148,148,EJG Morgan,21,25,0,0,0,24
149,149,ER Dwivedi,19,12,0,0,0,12
150,150,F Behardien,4,7,0,0,0,7
151,151,F du Plessis,27,34,0,0,0,33
152,152,FH Edwards,3,4,0,46,1,29
153,153,FY Fazal,17,20,0,15,1,44
154,154,G Gambhir,22,31,0,0,0,30
155,155,GB Hogg,5,11,0,27,1,35
156,156,GC Smith,16,24,0,0,0,24
157,157,GC Viljoen,0,1,0,32,1,26
158,158,GD McGrath,1,4,0,36,1,29
159,159,GH Vihari,7,14,0,124,2,63
160,160,GJ Bailey,18,22,0,0,0,21
161,161,GJ Maxwell,21,21,0,65,2,69
162,162,GR Napier,13,15,0,56,1,39
163,163,Gurkeerat Singh,14,18,0,22,1,42
164,164,H Das,0,2,0,0,0,2
165,165,H Klaasen,9,13,0,0,0,13
166,166,HF Gurney,0,0,0,52,1,25
167,167,HH Gibbs,18,27,0,0,0,27
168,168,HH Pandya,29,28,0,36,1,52
169,169,HM Amla,45,44,0,0,0,44
170,170,HV Patel,10,11,0,33,1,35
171,171,Harbhajan Singh,12,14,0,33,1,38
172,172,Harmeet Singh,9,9,0,25,1,33
173,173,Harpreet Brar,0,0,0,0,0,0
174,174,Harpreet Singh,6,10,0,0,0,10
175,175,I Malhotra,0,0,0,0,0,0
176,176,I Sharma,3,7,0,64,2,56
177,177,I Udana,5,5,0,52,1,29
178,178,IC Pandey,0,0,0,49,1,25
179,179,IK Pathan,16,21,0,33,1,45
180,180,IR Jaggi,9,15,0,0,0,15
181,181,IS Sodhi,1,3,0,28,1,28
182,182,Imran Tahir,4,8,0,19,1,33
183,183,Iqbal Abdulla,48,88,0,33,1,111
184,184,Ishan Kishan,27,30,0,0,0,30
185,185,J Arunkumar,3,7,0,0,0,7
186,186,J Botha,12,18,0,51,1,42
