id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken
162,GR Napier,13,15,0,56,1
163,Gurkeerat Singh,14,18,0,22,1
164,H Das,0,2,0,0,0
165,H Klaasen,9,13,0,0,0
166,HF Gurney,0,0,0,52,1
167,HH Gibbs,18,27,0,0,0
168,HH Pandya,29,28,0,36,1
169,HM Amla,45,44,0,0,0
170,HV Patel,10,11,0,33,1
171,Harbhajan Singh,12,14,0,33,1
172,Harmeet Singh,9,9,0,25,1
173,Harpreet Brar,0,0,0,0,0
174,Harpreet Singh,6,10,0,0,0
175,I Malhotra,0,0,0,0,0
176,I Sharma,3,7,0,64,2
177,I Udana,5,5,0,52,1
178,IC Pandey,0,0,0,49,1
179,IK Pathan,16,21,0,33,1
180,IR Jaggi,9,15,0,0,0
181,IS Sodhi,1,3,0,28,1
182,Imran Tahir,4,8,0,19,1
183,Iqbal Abdulla,48,88,0,33,1
184,Ishan Kishan,27,30,0,0,0
185,J Arunkumar,3,7,0,0,0
186,J Botha,12,18,0,51,1
187,J Suchith,16,27,0,47,1
188,J Syed Mohammad,7,14,0,29,1
189,J Theron,2,5,0,35,1
190,J Yadav,0,0,0,108,2
191,JA Morkel,22,24,0,30,1
192,JC Archer,14,15,0,21,1
193,JC Buttler,30,35,0,0,0
194,JD Ryder,16,20,0,40,1
195,JD Unadkat,5,8,0,32,1
196,JDP Oram,11,13,0,34,1
197,JDS Neesham,6,12,0,250,3
198,JE Taylor,0,0,0,32,1
199,JEC Franklin,17,29,0,21,1
200,JH Kallis,17,27,0,43,1
201,JJ Bumrah,5,10,0,25,1
202,JJ Roy,26,29,0,0,0
203,JJ van der Wath,4,9,0,46,2
204,JL Denly,0,0,0,0,0
205,JL Pattinson,17,15,0,41,1
206,JM Bairstow,33,39,0,0,0
207,JM Kemp,6,13,0,17,1
208,JO Holder,9,14,0,23,1
209,JP Duminy,36,41,0,66,2
210,JP Faulkner,16,19,0,25,1
211,JPR Scantlebury-Searles,10,8,0,72,2
212,JR Hopes,19,24,0,60,2
213,JR Philippe,17,19,0,0,0
214,Jaskaran Singh,1,4,0,24,1
215,Joginder Sharma,6,9,0,44,1
216,K Goel,9,15,0,0,0
217,K Gowtham,13,14,0,70,2
218,K Rabada,6,13,0,13,1
219,K Upadhyay,0,0,0,0,0
220,KA Pollard,28,28,0,35,1
221,KAJ Roach,5,10,0,0,0
222,KB Arun Karthik,6,10,0,0,0
223,KC Cariappa,5,8,0,70,2
224,KC Sangakkara,20,24,0,0,0
225,KD Karthik,21,25,0,0,0
226,KH Pandya,25,26,0,50,1
227,KJ Abbott,18,13,0,300,4
228,KK Ahmed,0,0,0,17,1
229,KK Cooper,12,12,0,21,1
230,KK Nair,19,23,0,0,0
231,KL Nagarkoti,3,7,0,100,2
232,KL Rahul,36,42,0,0,0
233,KM Jadhav,17,22,0,0,0
234,KMA Paul,2,4,0,25,1
235,KMDN Kulasekara,0,0,0,20,1
236,KP Appanna,0,2,0,32,1
237,KP Pietersen,27,34,0,22,1
238,KS Williamson,35,39,0,0,0
239,KV Sharma,10,15,0,30,1
240,KW Richardson,7,12,0,20,1
241,Kamran Akmal,32,32,0,0,0
242,Kamran Khan,0,3,0,12,1
243,Karanveer Singh,4,12,0,19,1
244,Kartik Tyagi,1,4,0,43,2
245,Kuldeep Yadav,6,14,0,36,1
246,L Ablish,0,0,0,6,1
247,L Balaji,2,5,0,28,1
248,L Ronchi,7,11,0,0,0
249,LA Carseldine,17,27,0,2,0
250,LA Pomersbach,19,27,0,0,0
251,LE Plunkett,0,1,0,157,2
252,LH Ferguson,64,44,0,51,1
253,LJ Wright,30,26,0,142,3
254,LMP Simmons,34,39,0,51,1
255,LPC Silva,19,20,0,0,0
256,LR Shukla,10,13,0,29,1
257,LRPL Taylor,17,24,0,0,0
258,LS Livingstone,19,23,0,0,0
259,M Ashwin,1,2,0,50,1
260,M Kaif,9,16,0,0,0
261,M Kartik,12,16,0,72,2
262,M Klinger,12,18,0,0,0
263,M Manhas,13,21,0,0,0
264,M Markande,5,9,0,36,1
265,M Morkel,8,11,0,26,1
266,M Muralitharan,1,3,0,40,1
267,M Ntini,4,11,0,49,1
268,M Prasidh Krishna,0,3,0,68,2
269,M Rawat,4,11,0,0,0
270,M Vijay,21,27,0,0,0
271,M Vohra,21,24,0,0,0
272,M de Lange,0,1,0,40,1
273,MA Agarwal,17,21,0,0,0
274,MA Khote,8,12,0,16,1
275,MA Starc,9,16,0,16,1
276,MA Wood,0,1,0,0,0
277,MC Henriques,26,27,0,42,1
278,MC Juneja,10,17,0,0,0
279,MD Mishra,10,15,0,0,0
280,MDKJ Perera,7,7,0,0,0
281,MEK Hussey,33,38,0,0,0
282,MF Maharoof,16,17,0,13,1
283,MG Johnson,7,11,0,34,1
284,MJ Clarke,8,16,0,26,1
285,MJ Guptill,24,22,0,0,0
286,MJ Lumb,24,27,0,0,0
287,MJ McClenaghan,4,7,0,26,1
288,MJ Santner,20,32,0,23,1
289,MK Lomror,13,17,0,0,0
290,MK Pandey,22,29,0,0,0
291,MK Tiwary,20,27,0,197,3
292,ML Hayden,37,41,0,0,0
293,MM Ali,29,23,0,26,1
294,MM Patel,4,7,0,21,1
295,MM Sharma,5,8,0,27,1
296,MN Samuels,8,13,0,35,1
297,MN van Wyk,53,55,0,0,0
298,MP Stoinis,26,27,0,36,1
299,MR Marsh,12,17,0,18,1
300,MS Bisla,13,21,0,0,0
301,MS Dhoni,33,36,0,0,0
302,MS Gony,9,11,0,50,1
303,MS Wade,4,7,0,0,0
304,MV Boucher,20,26,0,0,0
305,Mandeep Singh,17,21,0,0,0
306,Mashrafe Mortaza,0,0,0,138,2
307,Misbah-ul-Haq,13,13,0,0,0
308,Mohammad Ashraful,0,2,0,0,0
309,Mohammad Asif,0,1,0,47,1
310,Mohammad Hafeez,4,8,0,60,1
311,Mohammad Nabi,16,16,0,54,1
312,Mohammed Shami,2,5,0,30,1
313,Mohammed Siraj,5,9,0,31,1
314,Mujeeb Ur Rahman,1,3,0,44,1
315,Mustafizur Rahman,0,1,0,32,1
316,N Jagadeesan,8,16,0,0,0
317,N Pooran,30,30,0,0,0
318,N Rana,22,27,0,18,1
319,N Saini,7,12,0,0,0
320,NA Saini,8,14,0,85,2
321,ND Doshi,0,0,0,72,2
322,NJ Maddinson,2,6,0,0,0
323,NJ Rimmington,0,0,0,0,0
324,NL McCullum,5,8,0,0,0
325,NLTC Perera,15,17,0,32,1
326,NM Coulter-Nile,8,9,0,21,1
327,NS Naik,3,7,0,0,0
328,NV Ojha,16,21,0,0,0
329,Niraj Patel,12,24,0,0,0
330,OA Shah,37,38,0,0,0
331,P Awana,0,1,0,25,1
332,P Chopra,5,8,0,0,0
333,P Dogra,6,10,0,0,0
334,P Dubey,0,0,0,0,0
335,P Kumar,7,10,0,51,1
336,P Negi,12,14,0,31,1
337,P Parameswaran,0,0,0,26,1
338,P Ray Barman,7,19,0,0,0
339,P Sahu,0,0,0,119,2
340,P Simran Singh,4,10,0,0,0
341,PA Patel,16,22,0,0,0
342,PA Reddy,9,16,0,0,0
343,PC Valthaty,16,22,0,41,1
344,PD Collingwood,48,50,0,21,1
345,PJ Cummins,15,17,0,41,1
346,PJ Sangwan,1,3,0,36,1
347,PK Garg,9,14,0,0,0
348,PM Sarvesh Kumar,0,0,0,75,2
349,PP Chawla,8,11,0,30,1
350,PP Ojha,0,1,0,30,1
351,PP Shaw,21,22,0,0,0
352,PR Shah,8,11,0,0,0
353,PSP Handscomb,3,6,0,0,0
354,PV Tambe,4,18,0,39,1
355,Pankaj Singh,0,3,0,70,2
356,Parvez Rasool,3,8,0,196,3
357,Q de Kock,27,32,0,0,0
358,R Ashwin,7,11,0,33,1
359,R Bhatia,8,11,0,29,1
360,R Bishnoi,5,6,0,0,0
361,R Dhawan,15,21,0,53,1
