batsman,inning,batsman_runs,is_wicket,strike,batting_avg
Y Venugopal Rao,1254,985,42,113.8728324,23.45238095
SM Curran,256,281,12,140.5,23.41666667
AD Mathews,873,724,31,120.8681135,23.35483871
LS Livingstone,83,70,3,145.8333333,23.33333333
CH Morris,547,551,24,153.0555556,22.95833333
PC Valthaty,654,505,22,116.8981481,22.95454545
DJ Bravo,1797,1490,65,124.2702252,22.92307692
GJ Bailey,793,663,29,120.1086957,22.86206897
KM Jadhav,1446,1141,50,120.4857445,22.82
TL Suman,953,676,30,115.1618399,22.53333333
MJ Guptill,245,270,12,137.755102,22.5
PA Patel,3698,2848,127,116.6257166,22.42519685
AB Agarkar,222,179,8,111.875,22.375
RR Powar,77,67,3,104.6875,22.33333333
PP Shaw,849,826,37,136.5289256,22.32432432
SA Asnodkar,501,423,19,120.1704545,22.26315789
Abdul Samad,112,111,5,168.1818182,22.2
SN Khan,460,441,20,137.3831776,22.05
Shakib Al Hasan,840,746,34,121.6965742,21.94117647
R Dhawan,201,153,7,113.3333333,21.85714286
GJ Maxwell,1497,1505,69,148.5686081,21.8115942
SP Fleming,276,196,9,114.619883,21.77777778
AP Majumdar,134,87,4,112.987013,21.75
MA Agarwal,2019,1690,78,129.0076336,21.66666667
CA Pujara,592,390,18,96.77419355,21.66666667
BCJ Cutting,204,238,11,163.0136986,21.63636364
MS Bisla,1232,798,37,108.2767978,21.56756757
IK Pathan,1460,1139,53,116.1060143,21.49056604
M Manhas,771,514,24,105.7613169,21.41666667
Mandeep Singh,1993,1659,78,121.627566,21.26923077
SO Hetmyer,299,275,13,135.4679803,21.15384615
NV Ojha,1999,1554,74,114.2647059,21
AB Barath,86,42,2,97.6744186,21
TU Deshpande,24,21,1,175,21
DE Bollinger,24,21,1,91.30434783,21
JD Ryder,713,604,29,129.6137339,20.82758621
S Sohal,460,368,18,118.3279743,20.44444444
Azhar Mahmood,442,388,19,124.7588424,20.42105263
FY Fazal,215,183,9,102.2346369,20.33333333
C de Grandhomme,379,303,15,132.3144105,20.2
STR Binny,1076,880,44,125.7142857,20
LPC Silva,42,40,2,148.1481481,20
RR Raje,25,20,1,111.1111111,20
R McLaren,232,159,8,89.3258427,19.875
DJG Sammy,314,295,15,117.5298805,19.66666667
C Munro,200,177,9,122.9166667,19.66666667
S Aravind,101,59,3,100,19.66666667
JP Faulkner,617,527,27,130.1234568,19.51851852
JR Philippe,83,78,4,97.5,19.5
RN ten Doeschate,343,326,17,136.9747899,19.17647059
TG Southee,126,115,6,126.3736264,19.16666667
Y Nagar,376,285,15,105.1660517,19
SP Jackson,53,38,2,122.5806452,19
Y Gnaneswara Rao,36,19,1,105.5555556,19
P Ray Barman,50,19,1,76,19
Gurkeerat Singh,653,511,27,117.2018349,18.92592593
DH Yagnik,180,170,9,119.7183099,18.88888889
CM Gautam,242,169,9,106.9620253,18.77777778
DB Ravi Teja,466,375,20,115.3846154,18.75
SB Styris,218,131,7,97.76119403,18.71428571
A Ashish Reddy,277,280,15,142.8571429,18.66666667
J Botha,597,409,22,112.3626374,18.59090909
DT Christian,492,446,24,116.1458333,18.58333333
W Jaffer,207,130,7,100.7751938,18.57142857
SM Pollock,156,147,8,126.7241379,18.375
M Klinger,105,73,4,93.58974359,18.25
AL Menaria,497,401,22,109.2643052,18.22727273
SP Narine,884,892,49,155.6719023,18.20408163
S Rana,112,91,5,110.9756098,18.2
S Vidyut,150,145,8,126.0869565,18.125
BJ Haddin,11,18,1,163.6363636,18
PV Tambe,74,18,1,46.15384615,18
AR Patel,1109,913,51,122.5503356,17.90196078
Abhishek Sharma,133,143,8,137.5,17.875
DJ Hooda,793,625,35,124.0079365,17.85714286
MC Juneja,199,125,7,93.28358209,17.85714286
MF Maharoof,185,177,10,142.7419355,17.7
AS Raut,270,194,11,112.7906977,17.63636364
VVS Laxman,396,282,16,104.0590406,17.625
NLTC Perera,469,422,24,130.2469136,17.58333333
SW Billings,337,334,19,130.46875,17.57894737
B Chipli,372,280,16,109.375,17.5
A Kumble,82,35,2,71.42857143,17.5
MK Lomror,105,87,5,111.5384615,17.4
MR Marsh,295,225,13,111.3861386,17.30769231
DL Vettori,177,121,7,102.5423729,17.28571429
AM Nayar,868,672,39,114.2857143,17.23076923
PJ Cummins,236,223,13,126.7045455,17.15384615
AC Blizzard,152,120,7,131.8681319,17.14285714
CA Ingram,304,205,12,112.0218579,17.08333333
S Anirudha,143,136,8,112.3966942,17
AP Dole,42,34,2,147.826087,17
R Sathish,362,270,16,114.4067797,16.875
N Jagadeesan,61,33,2,106.4516129,16.5
DJM Short,133,115,7,112.745098,16.42857143
PA Reddy,275,164,10,98.20359281,16.4
MJ Clarke,174,98,6,102.0833333,16.33333333
CJ Ferguson,187,98,6,82.35294118,16.33333333
Mohammad Nabi,145,146,9,143.1372549,16.22222222
M Kaif,420,259,16,100.3875969,16.1875
M Kartik,145,113,7,103.6697248,16.14285714
MA Starc,154,96,6,97.95918367,16
AT Carey,36,32,2,110.3448276,16
Basil Thampi,50,32,2,86.48648649,16
MD Mishra,341,237,15,111.2676056,15.8
Anirudh Singh,95,63,4,91.30434783,15.75
K Goel,361,218,14,91.21338912,15.57142857
AA Jhunjhunwala,302,217,14,99.5412844,15.5
Washington Sundar,237,186,12,120.7792208,15.5
S Sriram,76,31,2,81.57894737,15.5
S Dube,194,169,11,119.0140845,15.36363636
Sachin Baby,149,137,9,129.245283,15.22222222
IR Jaggi,117,76,5,76,15.2
KV Sharma,447,317,21,111.2280702,15.0952381
UBT Chand,490,300,20,95.54140127,15
JC Archer,202,195,13,152.34375,15
TR Birt,90,75,5,127.1186441,15
JL Pattinson,13,15,1,115.3846154,15
SA Abbott,17,15,1,115.3846154,15
SD Lad,26,15,1,115.3846154,15
GR Napier,16,15,1,93.75,15
C Madan,21,15,1,71.42857143,15
JO Holder,148,104,7,120.9302326,14.85714286
Harbhajan Singh,951,829,56,131.1708861,14.80357143
PK Garg,196,133,9,114.6551724,14.77777778
RJ Quiney,166,103,7,98.0952381,14.71428571
SP Goswami,367,293,20,95.43973941,14.65
SE Rutherford,85,73,5,132.7272727,14.6
VH Zol,26,29,2,111.5384615,14.5
J Syed Mohammad,54,29,2,107.4074074,14.5
NA Saini,50,29,2,93.5483871,14.5
K Gowtham,189,186,13,164.6017699,14.30769231
Kuldeep Yadav,118,57,4,75,14.25
GH Vihari,531,284,20,85.80060423,14.2
SD Chitnis,124,99,7,107.6086957,14.14285714
AP Tare,395,339,24,118.9473684,14.125
P Negi,410,365,26,121.2624585,14.03846154
SB Jakati,30,28,2,93.33333333,14
LR Shukla,507,405,29,113.1284916,13.96551724
K Rabada,233,125,9,92.59259259,13.88888889
RE Levi,122,83,6,112.1621622,13.83333333
AA Bilakhia,135,69,5,78.40909091,13.8
S Gopal,233,164,12,101.863354,13.66666667
MN Samuels,241,161,12,92.52873563,13.41666667
BR Dunk,58,40,3,111.1111111,13.33333333
YBK Jaiswal,82,40,3,90.90909091,13.33333333
RE van der Merwe,207,159,12,110.4166667,13.25
JDP Oram,118,106,8,96.36363636,13.25
H Klaasen,87,66,5,113.7931034,13.2
DJ Jacobs,124,92,7,91.08910891,13.14285714
Misbah-ul-Haq,111,117,9,142.6829268,13
Shoaib Malik,71,52,4,106.122449,13
Umar Gul,32,39,3,205.2631579,13
DJ Thornely,60,39,3,72.22222222,13
JM Kemp,50,26,2,104,13
KJ Abbott,9,13,1,162.5,13
DT Patil,25,13,1,100,13
CR Brathwaite,150,181,14,150.8333333,12.92857143
KK Cooper,109,116,9,165.7142857,12.88888889
N Saini,229,140,11,97.9020979,12.72727273
CR Woakes,94,63,5,95.45454545,12.6
VR Aaron,109,50,4,68.49315068,12.5
A Choudhary,28,25,2,125,12.5
Ankit Sharma,90,87,7,126.0869565,12.42857143
B Lee,151,124,10,121.5686275,12.4
JDS Neesham,105,61,5,95.3125,12.2
A Mishra,644,362,30,88.29268293,12.06666667
Sohail Tanvir,48,36,3,116.1290323,12
KW Richardson,61,36,3,92.30769231,12
ER Dwivedi,15,24,2,160,12
MA Khote,34,24,2,109.0909091,12
